date,total_pnl,mean_pnl,pnl_volatility,max_loss,trades,unique_traders,avg_trade_size,total_volume,total_fees,avg_exposure,buy_trades,sell_trades,buy_sell_ratio,value,classification,sentiment
2023-01-05,0.0,0.0,0.0,0.0,3,1,159.0,477.0,0.0,0.08376792939592191,3,0,3.0,29,Fear,Fear
2023-05-12,0.0,0.0,0.0,0.0,9,1,5556.203333333334,50005.83,12.501455,1.312112370165913,7,2,2.3333333333333335,49,Neutral,Neutral
2024-01-01,-129.53146,-7.196192222222223,85.84776860469921,-166.183134,18,1,14679.973888888888,264239.52999999997,66.059867,232.15485124311488,10,8,1.1111111111111112,65,Greed,Greed
2024-01-02,0.0,0.0,0.0,0.0,6,1,334.69666666666666,2008.18,0.5020439999999999,7497.655334534443,6,0,6.0,71,Greed,Greed
2024-01-03,8244.241409,60.176944591240876,111.95860869453276,0.0,137,1,3452.370072992701,472974.7,-0.546854,189669.13996395058,37,100,0.36633663366336633,70,Greed,Greed
2024-01-04,2507.963406,32.57095332467532,92.06770180124278,-39.89049,77,2,4408.7074025974025,339470.47,83.751362,124200.35639574648,32,45,0.6956521739130435,68,Greed,Greed
2024-01-05,0.0,0.0,0.0,0.0,14,1,6216.103571428571,87025.45,30.458908,2.1303568038340104,14,0,14.0,72,Greed,Greed
2024-01-06,91.510419,3.66041676,7.909299454844354,0.0,25,1,513.3848,12834.62,4.492106,19997.497897685917,9,16,0.5294117647058824,70,Greed,Greed
2024-01-07,5065.839308,79.1537391875,207.33447463371925,0.0,64,2,5666.721093749999,362670.14999999997,425.323025,19176.24714049579,6,58,0.1016949152542373,71,Greed,Greed
2024-01-08,167.080017,2.9312283684210527,23.197203266011744,-8.714336,57,4,3996.044385964912,227774.53,108.095036,5137.3166056203745,47,10,4.2727272727272725,71,Greed,Greed
2024-01-09,137.433093,11.452757750000002,25.479618769976113,0.0,12,1,1029.9733333333334,12359.68,4.325861,487.25018722000596,7,5,1.1666666666666667,76,Extreme Greed,Greed
